track_id,track_name,track_artist,track_preview
0AHpMhCdgaz00aMkoEZTXd,119,NCT DREAM,https://p.scdn.co/mp3-preview/9ac185a41c44fedd386f1cebf558e42f2ab4c009?cid=42af1dc139184fc09475bdf54c5029cf
3szFx3SyWFpRbehaPxpyqq,Expectations,"Anne-Marie, MINNIE, (G)I-DLE",https://p.scdn.co/mp3-preview/5db417f961af33234fbc57831069b6841f3a6ded?cid=42af1dc139184fc09475bdf54c5029cf
1cNC5C5krCrOZSKlbPZEuY,Zubi Zubi Zubi,Raja,https://p.scdn.co/mp3-preview/36e5538a4c907f5d3e413d0327007adc584fa531?cid=42af1dc139184fc09475bdf54c5029cf
0B5pOLlr0OLEVdE0PBG8pF,Las Caraqueñas,Guaco,https://p.scdn.co/mp3-preview/a5da7ad613ca3cf78c1604c0eaf5a0c44ea51f60?cid=42af1dc139184fc09475bdf54c5029cf
3SK45LddxlEkzI8OWO9Eyo,Ingobernable,"C. Tangana, Gipsy Kings, Nicolás Reyes, Tonino Baliardo",https://p.scdn.co/mp3-preview/5aa117e5bb4cb8b9079dbeaf4ae95e18c7b7a5c1?cid=42af1dc139184fc09475bdf54c5029cf
6FLXlX5ORGAoTkCkY5URGg,La Cosa,Isabel Garcés,https://p.scdn.co/mp3-preview/e585bf9ab5295cffa12abc6ddc3ab4ebe33d01be?cid=42af1dc139184fc09475bdf54c5029cf
2A7ZbcDSmZEP7pzomG43Sv,Luces,"Bial Hclap, Valzzi",https://p.scdn.co/mp3-preview/f179b819b4e248aaa88ffd3e2fdb6f6b755d2376?cid=42af1dc139184fc09475bdf54c5029cf
5Wvw29RKTFSK0IuCd2qs4m,Así Soy,Santa Fe Klan,https://p.scdn.co/mp3-preview/c727d7c3eb5bb4f9a778b11c0e8c08bd6b132671?cid=42af1dc139184fc09475bdf54c5029cf
7438MuLGbjcLHuvMGxgKua,Obama Runtz (feat. Wizz Havinn),"BossMan Dlow, Wizz Havinn",https://p.scdn.co/mp3-preview/3cfe9d3799487e6f8c420adc331213cffb182014?cid=42af1dc139184fc09475bdf54c5029cf
7vVgN04eLKRBb7MW7pfOT0,Upper Side Dreamin’,ENHYPEN,https://p.scdn.co/mp3-preview/31dbac99ef21a817121bf0d80f63880ecfdd1857?cid=42af1dc139184fc09475bdf54c5029cf
0PgpcwBfURH7ENtbdv3dtU,Encore,Agust D,https://p.scdn.co/mp3-preview/6bc3653739aa1fe6dfede297fda3a84db34b73ee?cid=42af1dc139184fc09475bdf54c5029cf
1uLbMNVdQmWwhKEi1LykdW,Harina de Maiz Criolla,"Afro Cuban Social Club, Deboson",https://p.scdn.co/mp3-preview/3d18ee05e7fb9c71465d17f53aaf75fadedb599d?cid=42af1dc139184fc09475bdf54c5029cf
7y91nQBMhyeHWTn9wVvhKl,Una Vida Pasada,"Camilo, Carin Leon",https://p.scdn.co/mp3-preview/34835b17b19712cd07452fab1d290b78c1bdf976?cid=42af1dc139184fc09475bdf54c5029cf
0RjJSBBEolCDJ6wDiuVCmh,ATTENTION!,XXXTENTACION,https://p.scdn.co/mp3-preview/2c166b7c068a761ff9ec450bdfa342131146f33d?cid=42af1dc139184fc09475bdf54c5029cf
53o2MJgllsz2TkumCRCtTI,Dulce amor,"Jorge Anibal Mendoza, Teresa Gonzáles Feldmann, Pablo Carcamo",https://p.scdn.co/mp3-preview/4ce84d334e3a5f5c882bf46aa8663088c4dd888d?cid=42af1dc139184fc09475bdf54c5029cf
5r3aYGutXgsxSqB6W3RrzJ,Sunlight (feat. Years & Years) - Radio Edit,"The Magician, Olly Alexander (Years & Years)",https://p.scdn.co/mp3-preview/ec29a39ac58efa39900deacb6a254f9dc060f5e9?cid=42af1dc139184fc09475bdf54c5029cf
1hMQi73KABRBsxSmFNnxBS,Solo un Segundo,Bacilos,https://p.scdn.co/mp3-preview/5d763ec4473e81ddc54eec32495236cf17f92c70?cid=42af1dc139184fc09475bdf54c5029cf
76v3J11Zq0HwkJqQLyw7sJ,Pronto,Danny Ocean,https://p.scdn.co/mp3-preview/e88680e1996f3b754f6cda6082714e81cd51b2e2?cid=42af1dc139184fc09475bdf54c5029cf
7LCyetqC0dra5wnypug3gH,Tu Recuerdo,Corazon Serrano,https://p.scdn.co/mp3-preview/370cdb262b3d8df976975a2ad7467d0e6526525c?cid=42af1dc139184fc09475bdf54c5029cf
3GvDCvfTvXB4cp8wwh7Y3k,3: 45,Rels B,https://p.scdn.co/mp3-preview/25db546fa9e20a8eeb21a54464d963b6e218198b?cid=42af1dc139184fc09475bdf54c5029cf
4By48hpAtUx7F7F1yxvwvm,Entertainer,ZAYN,https://p.scdn.co/mp3-preview/c4c90a41aba0da007bb423f583bcf6ee45a882e8?cid=42af1dc139184fc09475bdf54c5029cf
4kBr5XX61vLb4tejJajOT8,Groin,RM,https://p.scdn.co/mp3-preview/5606107c79319ac5e3c90843394756018128bd84?cid=42af1dc139184fc09475bdf54c5029cf
5IWsYLhoYS1kTaMh2bVnhz,Tu Chacal,"SMILE BEATS, Valentino GRM, JEYSON",https://p.scdn.co/mp3-preview/5250ad35849b49f0fc4eb0a28fefb94e29e2acbd?cid=42af1dc139184fc09475bdf54c5029cf
07oO1U722crtVcavi6frX6,"Double Life - From ""Despicable Me 4""",Pharrell Williams,https://p.scdn.co/mp3-preview/bc4b97d9c17e648614b2022af69294dbad30cd86?cid=42af1dc139184fc09475bdf54c5029cf
5YbeAaSHZv7ZDAM6CJE872,Baila Esta Cumbia,Ángela Aguilar,https://p.scdn.co/mp3-preview/ec6cf37c832163345f12c8d6bcecd83db1880b13?cid=42af1dc139184fc09475bdf54c5029cf
237t7ZswmEnZChpNZ0zscx,TONIGHT (Bad Boys: Ride Or Die) (feat. Becky G),"Black Eyed Peas, El Alfa, Becky G",https://p.scdn.co/mp3-preview/2cef1903273388c89ce203e734c460fd33d4951a?cid=42af1dc139184fc09475bdf54c5029cf
6rvldt6EoZwzogApECUCwd,Who Made Who,AC/DC,https://p.scdn.co/mp3-preview/c8f25ab62224d71bd683604aa9ddcba85df60c0b?cid=42af1dc139184fc09475bdf54c5029cf
3MttrgbdNeGKTzlmDxJVLs,Sacred Trust,One True Voice,https://p.scdn.co/mp3-preview/f5914be69beed261ee962c894137012e511d3828?cid=42af1dc139184fc09475bdf54c5029cf
0d28khcov6AiegSCpG5TuT,Feel Good Inc.,Gorillaz,https://p.scdn.co/mp3-preview/b13a1bb2d8a04132982a49b6efee933cc9d67c7e?cid=42af1dc139184fc09475bdf54c5029cf
5e2jIB5KT9kmTDCBzAmvQr,Gorgeous,"Tee Grizzley, Skilla Baby",https://p.scdn.co/mp3-preview/678aa609e7118be3097dd63e203bdb92c71a286a?cid=42af1dc139184fc09475bdf54c5029cf
2N7IoT0kof97BeaQmgw8Qd,Fly Chill,Cráneo,https://p.scdn.co/mp3-preview/f60a1470f2683804ea96d80cc387cb416f840d98?cid=42af1dc139184fc09475bdf54c5029cf
5Ph0B4BDJQM7RipTy75EEk,Really Like U,"Stalk Ashley, Skillibeng",https://p.scdn.co/mp3-preview/ab59471f01585228e023594a5f3580a4da50bc45?cid=42af1dc139184fc09475bdf54c5029cf
69Z2hUoeaxVx3Hxf8unmks,Me Enamore,Agrupación Marilyn,https://p.scdn.co/mp3-preview/228aea0be37f9198f4f30f67f47544bd5bc2464f?cid=42af1dc139184fc09475bdf54c5029cf
3rBfD2swVRrL2yoqnTh2Fx,Matemáticas,Dalex,https://p.scdn.co/mp3-preview/74d5ed242ba0d9453d59b57467ced03e0950ffe5?cid=42af1dc139184fc09475bdf54c5029cf
3B7EZgquNKHrSIo2tEc8mK,FLAMENCO,Beyoncé,https://p.scdn.co/mp3-preview/10d39aee70cd9a2dcac0cd70c02a6e3d910e70b5?cid=42af1dc139184fc09475bdf54c5029cf
17oeeAxAbZaHIqKpt402KI,You're Hired (feat. Ayra Starr),"NEIKED, Ayra Starr",https://p.scdn.co/mp3-preview/9be9b7bd3132911163cf7c61824d6f1e9a8cd622?cid=42af1dc139184fc09475bdf54c5029cf
135gSL1GHbUICdWdzs2l1u,(I Wanted) Summer With You,Couch,https://p.scdn.co/mp3-preview/ecf3e8c1f74995bade4793538d50844827bbb558?cid=42af1dc139184fc09475bdf54c5029cf
1UNAe1Y3ndCl68yPKpZS7T,Bon Bon,Pitbull,https://p.scdn.co/mp3-preview/a41771137e99e5a9d013794fda359f7fb37b79e8?cid=42af1dc139184fc09475bdf54c5029cf
5cOJ2APoxJfaGjEC7CYc0K,Drive (feat. Delilah Montagu) - Edit,"Black Coffee, David Guetta, Delilah Montagu",https://p.scdn.co/mp3-preview/7eb6903dc4c631c3bd25a35430cc55f2d04b87e8?cid=42af1dc139184fc09475bdf54c5029cf
1WbXIpiGBJkCiv3hn40iPB,Sobredosis (feat. Ozuna),"Romeo Santos, Ozuna",https://p.scdn.co/mp3-preview/db9b6e87276b245209c93c183bde5dfd6c216bd2?cid=42af1dc139184fc09475bdf54c5029cf
6dDIOU6AqgLkrjFNPgvKY6,FU (feat. French Montana),"Miley Cyrus, French Montana",https://p.scdn.co/mp3-preview/0e23226c994e6df62b55be62ad7430274860da64?cid=42af1dc139184fc09475bdf54c5029cf
1kcGgL73ptM5SwurvMZplk,Dime Ven,Motel,https://p.scdn.co/mp3-preview/d7973fb41071b430f7aa816d4ec06f22c0c62b1c?cid=42af1dc139184fc09475bdf54c5029cf
6HvD8JhIe9Mq6gyql32rYb,It's a Vibe,"Duki, C. Tangana, KHEA, Leebrian",https://p.scdn.co/mp3-preview/61c76ed5874d18f176f19af33b05000427448c05?cid=42af1dc139184fc09475bdf54c5029cf
5n4FTCMefvyKUjeWumdaWv,Miss The Rage,"Trippie Redd, Playboi Carti",https://p.scdn.co/mp3-preview/5351db2c4b57b6b9ffb26332c75be9641aaa9c53?cid=42af1dc139184fc09475bdf54c5029cf
0ZUtat3yQpzMRMJ9Qmz5k0,everythingoes (with Nell),"RM, NELL",https://p.scdn.co/mp3-preview/faaeca209980c966a9f0a92dac081f177ee6ec41?cid=42af1dc139184fc09475bdf54c5029cf
