track_id,track_name,track_artist,track_preview,mp3_file,MFCC_Vector
4VL5XwfATZuAVTW471Wpro,FUNKED UP - SLOWED,"xxanteria, isq",https://p.scdn.co/mp3-preview/fb40769001c14348963be8fe09522a4312636375?cid=42af1dc139184fc09475bdf54c5029cf,downloaded_audio\_EverybodyNeedsSomeonefeatVanceJoy_NoahCyrusVanceJoy.mp3,"[-16.136892   118.98027      0.84720343  33.440502    -0.22313425
   8.033603     4.603627     2.0361872   -2.1373734    5.051988
  -4.070465     4.902502    -4.0886164    2.7577565   -4.4224563
   1.8703178   -3.6739552    2.4567666   -1.7323812    1.794823  ]"
0EqczV3o6fwksegAavIHpX,LOVELY BASTARDS,"ZWE1HVNDXR, yatashigang",https://p.scdn.co/mp3-preview/1688f632932eb0d0fcbc429c8d9cde7c63874eb0?cid=42af1dc139184fc09475bdf54c5029cf,downloaded_audio\_DomDomYesYes_TimmyTrumpetR3HABNaeleck.mp3,"[-17.421362   112.46147    -31.05099     28.84231     -9.794214
  11.651178     8.89385      8.735952     2.4277968    4.794931
  -2.5071483    4.6770635    2.1491635    6.264036     3.0581574
   0.38061112  -6.387746     4.652805    -1.3352088    1.5866816 ]"
6qyS9qBy0mEk3qYaH8mPss,Murder In My Mind,Kordhell,https://p.scdn.co/mp3-preview/ec3b94db31d9fb9821cfea0f7a4cdc9d2a85e969?cid=42af1dc139184fc09475bdf54c5029cf,downloaded_audio\_ThotShit_MeganTheeStallion.mp3,"[-64.34098     58.053734    11.857931    17.437458     0.8381302
   7.4434257    0.67706287  15.774663    -3.950122     8.343836
  -1.5216626    5.798115    -1.024828     7.1358767    1.4598594
   0.90186787   0.28387326   2.5639627   -2.0430367    1.2324882 ]"
7vOmSP2647oNUGGEhWd1cr,Montagem Mysterious Game,LXNGVX,https://p.scdn.co/mp3-preview/1fcafbd241a8fc1b68db08aae686dad2a171984c?cid=42af1dc139184fc09475bdf54c5029cf,downloaded_audio\_MyType_TheChainsmokersEmilyWarren.mp3,"[-13.656906    86.00948    -17.060024    16.218912    -4.10776
  -0.28175908   5.1760645    8.855707     3.1519608    3.1468322
  -4.534854     5.0000296    1.3362876   12.191471     4.7591324
   9.369304     1.4781467    3.4475498   -2.1151004    9.1915    ]"
3K5KXm1uZjiyQk0J7op1xf,9mm,"Memphis Cult, Groove Dealers, SPLYXER",https://p.scdn.co/mp3-preview/155dc622ff4f6f3d3d67958d3f40041ac05fef45?cid=42af1dc139184fc09475bdf54c5029cf,downloaded_audio\_0SentimientosRemix_JonZNorielDarkielLyanMessiahBabyRasta.mp3,"[-86.55942     68.12471      7.4110336   21.772535     4.6751747
   1.8450358    0.15352745   9.538914    -8.340652    11.952162
   2.9715326    8.164922     4.510147     3.664167     5.30514
   3.5742607   -1.6001409    5.739379    -3.2815628    0.7021474 ]"
2ksyzVfU0WJoBpu8otr4pz,METAMORPHOSIS,INTERWORLD,https://p.scdn.co/mp3-preview/61baac6cfee58ae57f9f767a86fa5e99f9797664?cid=42af1dc139184fc09475bdf54c5029cf,downloaded_audio\_SomosdeCalle_DaddyYankee.mp3,"[-21.140232    73.26811     -0.39990377  24.365808     1.4319779
  14.728147    -8.639847    13.5349245   -1.5727438    9.924008
   0.80944175   5.4230027    1.9071515   -0.45765933  -0.36823064
   5.1650786   -3.95639      0.09997942  -1.0532442   -3.8895302 ]"
2V3hsJU3bTOATih0Fm4aDp,BRODYAGA FUNK,Eternxlkz,https://p.scdn.co/mp3-preview/eb8637eac57c761bc305cd0324fb534b99e765b3?cid=42af1dc139184fc09475bdf54c5029cf,downloaded_audio\_Perdón_Camila.mp3,"[ 8.9732389e+00  8.8246201e+01 -8.2368517e+00  2.6251944e+01
  4.3918710e+00  7.5513430e+00 -6.6616060e-03  5.6365533e+00
 -2.5703549e+00  6.4099908e+00 -4.7048249e+00  3.2279000e+00
 -2.9298186e+00  1.9881153e+00 -3.2444203e+00  1.4695558e-01
 -6.8588271e+00 -6.4219236e-01 -4.5618186e+00  6.7034596e-01]"
6njJR3OIp3oA0Kc4aC9Tzf,MONTAGEM - PR FUNK,"S3BZS, Mc Gw, Mc Menor Do Alvorada",https://p.scdn.co/mp3-preview/ff8b5e4bc38c86d9183088e4e9aa551e6f415e8f?cid=42af1dc139184fc09475bdf54c5029cf,downloaded_audio\_Witness_OMILahrel.mp3,"[-49.255455    99.65812     15.082359    10.853594    -4.122328
   1.0261155   -9.636045     1.3181169  -11.266889     0.41805258
 -17.773586    -5.0493164   -1.1200908   -5.613864    -4.608426
  -3.0419528   -5.668846    -1.1549001   -1.992698     4.313641  ]"
1A7qPfbcyRVEdcZiwTFhZI,Memory Reboot,"VØJ, Narvent",https://p.scdn.co/mp3-preview/fc696989022ceb2ec352209bd7a51b5910870ff9?cid=42af1dc139184fc09475bdf54c5029cf,downloaded_audio\_YWFVersiónReggaeton_OscarMaydon.mp3,"[-4.9749718e+01  8.5772293e+01  1.2647204e+01  2.0217113e+01
  7.1172700e+00  3.7596657e+00 -2.6008797e-01  1.5477908e+01
  4.4465691e-01 -8.5667826e-02  3.7511406e+00  7.4235392e+00
  7.6571884e+00  9.6019870e-01  1.7694309e+00  4.3197594e+00
 -4.2277513e+00  8.4415331e+00 -3.9378657e+00 -2.8592694e+00]"
6fdjPVlCwFryREAsmRHy4C,MONTAGEM DIAMANTE ROSA - SLOWED,"vtze archive, Mc Ster",https://p.scdn.co/mp3-preview/ef9862891cefb5fa40550b15cda0e92349524622?cid=42af1dc139184fc09475bdf54c5029cf,downloaded_audio\_NeverGoodbye_NCTDREAM.mp3,"[-3.6075645e+01  9.5435585e+01  2.5282610e+01  1.8630423e+01
  3.6693254e+00  7.1907744e+00 -3.4647622e+00  8.1038446e+00
 -9.3614471e-01  1.2551195e+01 -5.1429413e-02  1.7630638e+00
 -1.9629071e+00  4.6792517e+00 -8.9117682e-01  4.1118636e+00
 -3.7424541e+00  2.0705588e+00 -4.6420479e+00  7.8435783e+00]"
